,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,METEOR,ROUGE_1gram,ROUGE_1gram_pre,ROUGE_1gram_recall,ROUGE_2gram,ROUGE_2gram_pre,ROUGE_2gram_recall,ROUGE_L,ROUGE_L_pre,ROUGE_L_recall,CIDEr,Spice
0,0.838711362,0.68952342,0.545634826,0.421644251,0.305400554,0.642119851,0.679344481,0.618720735,0.4070323,0.426534271,0.396217631,0.642119851,0.679344481,0.618720735,1.448417962,0.238853763
1,0.83798531,0.686874469,0.541060231,0.416700189,0.300723415,0.637721294,0.676564376,0.612971351,0.402867975,0.422543849,0.392046467,0.637721294,0.676564376,0.612971351,1.420878245,0.23845987
2,0.83426775,0.683884329,0.538407458,0.415177013,0.301223999,0.63656127,0.674732973,0.612310267,0.403165409,0.423318705,0.39205808,0.63656127,0.674732973,0.612310267,1.423881211,0.239475774
3,0.836579348,0.687697705,0.542515604,0.417460426,0.300186549,0.636365159,0.675056728,0.611735224,0.40237865,0.422159361,0.391412232,0.636365159,0.675056728,0.611735224,1.429410442,0.23413571
4,0.837209302,0.688360685,0.542898353,0.417624539,0.300860231,0.638924787,0.678070437,0.613823268,0.403481667,0.422856782,0.39294784,0.638924787,0.678070437,0.613823268,1.416101566,0.236449541
5,0.835115304,0.68282971,0.535336365,0.412021057,0.300487284,0.638994061,0.677373341,0.614580795,0.401544765,0.421091685,0.390925489,0.638994061,0.677373341,0.614580795,1.423343485,0.237481265
6,0.835992676,0.683597824,0.536686987,0.412356754,0.300574257,0.638292197,0.676959686,0.613721866,0.400518293,0.420378012,0.38944855,0.638292197,0.676959686,0.613721866,1.416775359,0.236538823
7,0.840531214,0.69185975,0.546120821,0.421099866,0.305237981,0.644454428,0.682945004,0.619938157,0.408570144,0.427814989,0.398117345,0.644454428,0.682945004,0.619938157,1.438243784,0.237486201
8,0.835011538,0.681700896,0.533916192,0.408974084,0.299561128,0.635572968,0.672186183,0.61250199,0.397869086,0.418046248,0.38698241,0.635572968,0.672186183,0.61250199,1.40252604,0.238852189
9,0.833455844,0.683403522,0.537833864,0.413646771,0.299590106,0.634130491,0.672346338,0.610135684,0.400337681,0.419364322,0.389939021,0.634130491,0.672346338,0.610135684,1.405012744,0.238673665
10,0.838834343,0.689335133,0.543786027,0.420316343,0.304850648,0.639556205,0.674819715,0.617395088,0.404807947,0.42294908,0.395100446,0.639556205,0.674819715,0.617395088,1.436293828,0.237949756
11,0.837427329,0.684266395,0.536723933,0.411029121,0.300558003,0.635919846,0.67302702,0.612318549,0.397779794,0.416674278,0.387333025,0.635919846,0.67302702,0.612318549,1.401288683,0.238350151
12,0.836985009,0.687494038,0.542486918,0.418467301,0.302145157,0.638520633,0.677877165,0.613723652,0.403137785,0.423226263,0.392024988,0.638520633,0.677877165,0.613723652,1.432020811,0.239568437
13,0.841901776,0.690257559,0.544331473,0.421804859,0.302371694,0.63923818,0.678197168,0.6142194,0.403491604,0.42487776,0.391371065,0.63923818,0.678197168,0.6142194,1.429113857,0.239494472
